chain,triple,err_lucj,S0
newchain02,"(1, 4, 7)",608.0756059360785,4.409806189914862
newchain02,"(1, 4, 8)",616.9149249993095,7.0726932562295595
newchain02,"(1, 4, 9)",589.9879180906655,7.954731276678526
newchain02,"(1, 5, 6)",644.7525755619656,4.035225561331048
newchain02,"(1, 5, 7)",613.3773128850386,4.409806189914862
newchain02,"(1, 5, 8)",622.2136027651786,7.0726932562295595
newchain02,"(1, 5, 9)",595.6922469616109,7.954731276678526
newchain02,"(1, 6, 7)",614.700257464782,4.687150958038625
newchain02,"(1, 6, 8)",625.7663895808312,7.3500380243533225
newchain02,"(1, 6, 9)",594.3952835025783,8.23207604480229
newchain02,"(1, 7, 8)",602.2914039877447,7.724618652937137
newchain02,"(1, 7, 9)",567.0134376686304,8.606656673386103
newchain02,"(1, 8, 9)",547.9977428336449,11.2695437397008
newchain02,"(2, 3, 4)",561.3287412168777,1.3723384950163493
newchain02,"(2, 3, 5)",567.474278190752,1.3723384950163493
newchain02,"(2, 3, 6)",568.7171576226211,1.6496832631401122
newchain02,"(2, 3, 7)",543.0959485295288,2.024263891723927
newchain02,"(2, 3, 8)",532.5406951206935,4.687150958038624
newchain02,"(2, 3, 9)",545.008171546761,5.569188978487591
newchain02,"(2, 4, 5)",574.1166973465797,1.0949937268925867
newchain02,"(2, 4, 6)",573.6276805133454,1.3723384950163493
newchain02,"(2, 4, 7)",547.6736998344736,1.746919123600164
newchain02,"(2, 4, 8)",537.6428234818986,4.409806189914862
newchain02,"(2, 4, 9)",551.0456654995899,5.291844210363828
newchain02,"(2, 5, 6)",579.9922035348733,1.3723384950163495
newchain02,"(2, 5, 7)",553.0356502361791,1.746919123600164
newchain02,"(2, 5, 8)",543.1005524820857,4.409806189914862
newchain02,"(2, 5, 9)",556.4980286502985,5.291844210363828
newchain02,"(2, 6, 7)",554.7958394320966,2.024263891723927
newchain02,"(2, 6, 8)",547.4753555387811,4.687150958038624
newchain02,"(2, 6, 9)",555.2623513412929,5.569188978487591
newchain02,"(2, 7, 8)",527.3441407697251,5.0617315866224395
newchain02,"(2, 7, 9)",532.845801533945,5.943769607071405
newchain02,"(2, 8, 9)",491.0028467924086,8.606656673386103
newchain02,"(3, 4, 5)",561.6842834195497,0.7204130983087715
newchain02,"(3, 4, 6)",560.8886993531268,0.9977578664325344
newchain02,"(3, 4, 7)",532.7816479843648,1.3723384950163489
newchain02,"(3, 4, 8)",529.2920561788135,4.035225561331047
newchain02,"(3, 4, 9)",538.1861246364981,4.917263581780013
newchain02,"(3, 5, 6)",566.3152480086567,0.9977578664325344
newchain02,"(3, 5, 7)",537.2016304189353,1.372338495016349
newchain02,"(3, 5, 8)",533.728401497373,4.035225561331047
newchain02,"(3, 5, 9)",542.746955476253,4.917263581780013
newchain02,"(3, 6, 7)",538.6872364248214,1.649683263140112
newchain02,"(3, 6, 8)",537.9556688659407,4.312570329454809
