triple,captured,err_sqd,err_lucj,S0,S_int,S0_plus_Sint,system,chain
"(2, 4, 7)",0.5638144127688542,256.01746921348314,548.605735314136,1.746919123600164,2.029691922137677,-2.7595740839825025,H10,rand007
"(3, 4, 6)",0.4511884049703825,372.8896294803494,555.6080508162156,0.9977578664325344,1.814848354991657,-3.0760711578043245,H10,rand007
"(0, 3, 4)",0.6763101581038711,212.1238972681727,574.6602098111682,4.917263581780013,20.479834938223334,0.05032977689684286,H10,rand007
"(0, 1, 9)",0.6572112097363891,218.6538135657612,610.6545536919912,12.151581760149767,52.7047445835795,5.634226506942651,H10,rand007
"(3, 8, 9)",0.6378104746488928,225.4373425633629,517.1359068355548,8.232076044802287,33.64887065934444,2.475055821261887,H10,rand007
"(5, 6, 8)",0.4990303611132524,340.52337391812057,577.0418283725531,4.035225561331047,12.409185619519842,-0.9776946047224941,H10,rand007
"(0, 5, 6)",0.6763101581038711,212.1238972681727,596.1984734030024,4.917263581780014,19.177652630197926,-0.05883771329225411,H10,rand007
"(2, 3, 9)",0.7002444637381979,181.36166671463272,556.2863065787295,5.569188978487591,23.264766654858263,0.5435469291410991,H10,rand007
"(0, 4, 8)",0.6581663914550515,219.0999715854449,558.477385648139,7.954731276678526,31.162426404323206,2.156105055660052,H10,rand007
"(4, 5, 6)",0.4511884049703825,372.8896294803494,570.4920969332896,0.7204130983087718,0.48346451679435715,-3.298188288096948,H10,rand007
"(1, 2, 7)",0.5720882373340894,260.76595742499273,606.874029806578,5.0617315866224395,15.560228472320269,-0.30454188512073205,H10,rand007
"(0, 4, 9)",0.5955224169443551,268.2063642335324,611.0240526626294,8.836769297127493,39.17420803339691,3.1791943080808824,H10,rand007
"(0, 2, 3)",0.6763101581038711,212.1238972681727,584.6110129594306,5.56918897848759,22.021452036462644,0.439314568150508,H10,rand007
"(2, 6, 7)",0.5638144127688542,256.01746921348314,555.9238799791792,2.024263891723927,2.0588934523095688,-2.646624443878976,H10,rand007
"(0, 2, 4)",0.6763101581038711,212.1238972681727,593.0928121861418,5.291844210363828,20.77832239983703,0.22459616353926265,H10,rand007
"(4, 6, 9)",0.5923666542545104,269.1237568080016,556.9470430086776,4.917263581780013,20.50922145016523,0.05279337337971436,H10,rand007
