dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin,err_lucj,full_capture
15,15,225,38,39,2654,14814,OK,46.56101398974499,0.9659792814594121,identity,"(0, 2, 6)",0.2626236782475807,0.46557389435310936,0.05967346214205206,219.48523498463146,1.0000000000001297
15,15,225,38,41,2696,14814,OK,51.57122019664939,0.9394902763932316,identity,"(0, 2, 7)",0.263602220010768,0.46557389435310936,0.0616305456684267,215.57680901892695,1.0000000000001306
15,15,225,40,44,2654,14814,OK,31.870454303643214,0.9788639618129477,identity,"(0, 2, 8)",0.28833214990115386,0.46557389435310936,0.11109040544919838,196.2401214284455,1.000000000000125
15,15,225,45,45,2654,14814,OK,46.56101398974499,0.9659792814594121,identity,"(0, 2, 9)",0.2914818675554194,0.46557389435310936,0.11738984075772951,190.9296843770676,1.0000000000001323
15,15,225,37,39,2686,14812,OK,31.870454303643214,0.9788639618129475,identity,"(0, 3, 4)",0.26164513648439336,0.46557389435310936,0.05771637861567742,222.44706873203768,1.0000000000001306
15,15,225,37,39,2696,14814,OK,31.870454303643214,0.9788639618129475,identity,"(0, 3, 5)",0.26164513648439336,0.46557389435310936,0.05771637861567742,222.44706873203768,1.0000000000001306
15,15,225,37,39,2686,14814,OK,31.870454303643214,0.9788639618129475,identity,"(0, 3, 6)",0.26164513648439336,0.46557389435310936,0.05771637861567742,222.44706873203768,1.0000000000001306
15,15,225,36,40,2696,14814,OK,51.57122019664939,0.9394902763932313,identity,"(0, 3, 7)",0.2626236782475807,0.46557389435310936,0.05967346214205206,218.46622406026484,1.00000000000013
15,15,225,41,43,2686,14814,OK,31.870454303643214,0.9788639618129475,identity,"(0, 3, 8)",0.28735360813796657,0.46557389435310936,0.10913332192282374,199.48932575398715,1.0000000000001286
15,15,225,43,49,2686,14814,OK,46.56101398974499,0.965979281459412,identity,"(0, 3, 9)",0.2905033257922321,0.46557389435310936,0.11543275723135486,194.1210960501678,1.0000000000001315
15,15,225,37,39,2696,14812,OK,31.870454303643214,0.9788639618129475,identity,"(0, 4, 5)",0.26164513648439336,0.46557389435310936,0.05771637861567742,222.44706873203768,1.0000000000001306
15,15,225,37,39,2654,14812,OK,31.870454303643214,0.9788639618129475,identity,"(0, 4, 6)",0.26164513648439336,0.46557389435310936,0.05771637861567742,222.44706873203768,1.0000000000001306
15,15,225,36,40,2696,14812,OK,51.57122019664939,0.9394902763932313,identity,"(0, 4, 7)",0.2626236782475807,0.46557389435310936,0.05967346214205206,218.46622406026484,1.00000000000013
15,15,225,41,43,2654,14812,OK,31.870454303643214,0.9788639618129475,identity,"(0, 4, 8)",0.28735360813796657,0.46557389435310936,0.10913332192282374,199.48932575398715,1.0000000000001286
15,15,225,43,49,2654,14812,OK,46.56101398974499,0.965979281459412,identity,"(0, 4, 9)",0.2905033257922321,0.46557389435310936,0.11543275723135486,194.1210960501678,1.0000000000001315
15,15,225,37,39,2696,14814,OK,31.870454303643214,0.9788639618129475,identity,"(0, 5, 6)",0.26164513648439336,0.46557389435310936,0.05771637861567742,222.44706873203768,1.0000000000001306
15,15,225,36,40,2696,14814,OK,51.57122019664939,0.9394902763932313,identity,"(0, 5, 7)",0.2626236782475807,0.46557389435310936,0.05967346214205206,218.46622406026484,1.00000000000013
