ordering,kind,perm,seed,dim,err_sub_mHa,retained_J,captured,n_unique,top1
r107,random,6894712035,7,225,98.4176536564405,0.1899555004890534,0.8730887512578355,116,0.98309
r108,random,6470123859,2026,225,47.22902762544834,0.20625367437817238,0.981414116752274,137,0.96944
r108,random,6470123859,7,225,41.46906988174237,0.20625367437817238,0.981414116752274,143,0.969555
r109,random,0185236749,2026,225,50.98135222424105,0.24476059468978187,0.9620023579000733,140,0.97442
r109,random,0185236749,7,225,49.316276580441354,0.24476059468978187,0.9620023579000733,134,0.974521
r110,random,0392741586,2026,225,49.22033479513743,0.17719921811189487,0.9620023579000732,152,0.973769
r110,random,0392741586,7,225,49.22033479513743,0.17719921811189487,0.9620023579000732,147,0.973924
r111,random,8130279456,2026,225,56.40036961204942,0.2083644985229252,0.9564937090741166,111,0.985992
r111,random,8130279456,7,225,56.40036961204942,0.2083644985229252,0.9564937090741166,99,0.985976
r112,random,8609143275,2026,225,37.4275159622357,0.2755758675239953,0.9709023194917988,131,0.977009
r112,random,8609143275,7,225,37.4275159622357,0.2755758675239953,0.9709023194917988,124,0.977063
r113,random,8691534270,2026,225,29.532524992049503,0.20075754366646736,0.9779408261104372,132,0.978368
r113,random,8691534270,7,225,29.532524992049503,0.20075754366646736,0.9779408261104372,140,0.978418
r114,random,7259348601,2026,225,49.22033479513743,0.19530073490901026,0.9620023579000732,157,0.975069
r114,random,7259348601,7,225,49.22033479513743,0.19530073490901026,0.9620023579000732,138,0.975177
r115,random,9830465172,2026,225,49.22033479513743,0.20373249091027718,0.9620023579000732,167,0.967395
r115,random,9830465172,7,225,49.22033479513743,0.20373249091027718,0.9620023579000732,168,0.967597
r116,random,9140756328,2026,225,44.08318695864466,0.21136047555881257,0.9659647090422337,122,0.988059
r116,random,9140756328,7,225,44.08318695864466,0.21136047555881257,0.9659647090422337,112,0.98808
r117,random,9261735084,2026,225,53.14949944134639,0.2360904054491984,0.9625038249610786,157,0.971516
r117,random,9261735084,7,225,53.02722568754348,0.2360904054491984,0.9625038249610786,156,0.971616
r118,random,3476810952,2026,225,68.03109627944082,0.29834871388800643,0.9415751108659167,90,0.988882
r118,random,3476810952,7,225,72.07793898163573,0.29834871388800643,0.9415751108659167,104,0.988945
r119,random,6402391587,2026,225,49.74748074573654,0.20625367437817235,0.9570155385460307,141,0.967057
r119,random,6402391587,7,225,49.74748074573654,0.20625367437817235,0.9570155385460307,140,0.967297
r120,random,6019587423,2026,225,45.79591142164929,0.22533373293847508,0.9456084343652743,95,0.983179
r120,random,6019587423,7,225,45.79591142164929,0.22533373293847508,0.9456084343652743,87,0.983246
r121,random,0961742538,2026,225,50.19501788403602,0.20707527113716884,0.9616535966852902,93,0.988038
r121,random,0961742538,7,225,49.22033479513743,0.20707527113716884,0.9616535966852902,95,0.988054
r122,random,6105379842,2026,225,77.72861370824558,0.22452996158574348,0.8700851971975259,58,0.992343
r122,random,6105379842,7,225,77.72861370824558,0.22452996158574348,0.8700851971975259,62,0.992385
r123,random,7354921860,2026,225,53.28085887263967,0.20938236224036036,0.9394902763932315,97,0.988717
r123,random,7354921860,7,225,51.571220196535705,0.20938236224036036,0.9394902763932315,112,0.988749
r124,random,0819372465,2026,225,48.28996822134002,0.2981556513153804,0.9788639618129474,117,0.986717
r124,random,0819372465,7,225,31.870454303643214,0.2981556513153804,0.9788639618129474,120,0.986729
r125,random,2160973485,2026,225,46.56101398964552,0.24139026920246456,0.965979281459412,161,0.977041
r125,random,2160973485,7,225,46.56101398964552,0.24139026920246456,0.965979281459412,156,0.977095
r126,random,6419058372,2026,225,49.22033479513743,0.2530171135246877,0.9620023579000732,136,0.975531
r126,random,6419058372,7,225,49.22033479513743,0.2530171135246877,0.9620023579000732,143,0.97562
r127,random,8790564213,2026,225,50.520949364340595,0.24569376578627872,0.9616570316585733,130,0.976524
r127,random,8790564213,7,225,50.520949364340595,0.24569376578627872,0.9616570316585733,128,0.976607
r128,random,3619254087,2026,225,33.07046402333924,0.2596487310037709,0.9690622759683827,111,0.982095
r128,random,3619254087,7,225,33.07046402343872,0.2596487310037709,0.9690622759683827,111,0.982108
r129,random,1684259073,2026,225,47.9864601918365,0.20507886565654632,0.9607340245100505,102,0.985412
r129,random,1684259073,7,225,47.9864601918365,0.20507886565654632,0.9607340245100505,107,0.985431
r130,random,6743021895,2026,225,46.56101398964552,0.28967852464742294,0.9659792814594121,155,0.976886
r130,random,6743021895,7,225,46.56101398964552,0.28967852464742294,0.9659792814594121,160,0.976974
r131,random,6859210347,2026,225,55.89933482563936,0.18152374448778652,0.9361155811815899,92,0.984119
r131,random,6859210347,7,225,59.86768272984477,0.18152374448778652,0.9361155811815899,98,0.984142
r132,random,7568941203,2026,225,46.56101398964552,0.23924012310346393,0.9659792814594121,156,0.976387
r132,random,7568941203,7,225,46.56101398964552,0.23924012310346393,0.9659792814594121,161,0.976471
r133,random,5610389472,2026,225,103.7849887429445,0.21885906046358278,0.8036495659782104,56,0.993272
r133,random,5610389472,7,225,103.7849887429445,0.21885906046358278,0.8036495659782104,57,0.993307
r134,random,8047193256,2026,225,39.37053437464044,0.27577213448243415,0.9701857421702867,101,0.980513
r134,random,8047193256,7,225,39.37053437464044,0.27577213448243415,0.9701857421702867,97,0.980557
r135,random,9304572618,2026,225,53.320642973744725,0.21903109324413128,0.9586843253266693,105,0.979077
r135,random,9304572618,7,225,53.320642973744725,0.21903109324413128,0.9586843253266693,111,0.979172
r136,random,3861504792,2026,225,55.48666294893678,0.15716164758048246,0.9351703210028772,114,0.98368
r136,random,3861504792,7,225,55.48666294893678,0.15716164758048246,0.9351703210028772,128,0.983722
r137,random,5876431902,2026,225,46.56101398964552,0.26711977064811526,0.965979281459412,149,0.96929
r137,random,5876431902,7,225,46.56101398964552,0.26711977064811526,0.965979281459412,140,0.969421
r138,random,1253786049,2026,225,56.40036961204942,0.15464093086849282,0.9564937090741166,117,0.985219
r138,random,1253786049,7,225,56.40036961204942,0.15464093086849282,0.9564937090741166,116,0.985237
r139,random,2630189457,2026,225,29.068263305447317,0.29402739189792754,0.9781335524780966,104,0.987708
r139,random,2630189457,7,225,29.068263305447317,0.29402739189792754,0.9781335524780966,106,0.987731
r140,random,1876254390,2026,225,49.22033479513743,0.28420068609788834,0.9620023579000732,134,0.977484
r140,random,1876254390,7,225,49.22033479513743,0.28420068609788834,0.9620023579000732,140,0.977516
