triple,budget,status,err_mHa,captured,wall_s,dim
"(2, 5, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1264441013336182,64
"(2, 5, 7)",10,OK,458.76238480906386,0.4579017873727404,1.124479055404663,100
"(2, 5, 7)",15,OK,458.62551271719366,0.4714804052538836,1.1279668807983398,225
"(2, 5, 8)",5,OK,465.9875781404228,0.40498478862987614,1.0972990989685059,25
"(2, 5, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1247410774230957,64
"(2, 5, 8)",10,OK,458.76238480906386,0.4579017873727404,1.1257941722869873,100
"(2, 5, 8)",15,OK,446.27385466703015,0.4726305812957362,1.1277000904083252,225
"(2, 5, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1030306816101074,25
"(2, 5, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1251168251037598,64
"(2, 5, 9)",10,OK,306.8961530785872,0.5481624084362076,1.1289119720458984,100
"(2, 5, 9)",15,OK,238.28833543724937,0.6275684925998496,1.1296610832214355,225
"(2, 6, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1025137901306152,25
"(2, 6, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1243698596954346,64
"(2, 6, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1293468475341797,100
"(2, 6, 7)",15,OK,458.549396056509,0.4730280434619365,1.1300580501556396,225
"(2, 6, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1291141510009766,25
"(2, 6, 8)",8,OK,458.81235333945904,0.43786136826828376,1.117488145828247,64
"(2, 6, 8)",10,OK,458.78740895712957,0.43921955636115184,1.1263360977172852,100
"(2, 6, 8)",15,OK,446.27385466703015,0.4726305812957362,1.1287789344787598,225
"(2, 6, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1313300132751465,25
"(2, 6, 9)",8,OK,458.81235333945904,0.43786136826828376,1.102081060409546,64
"(2, 6, 9)",10,OK,306.8961530785872,0.5481624084362076,1.1017100811004639,100
"(2, 6, 9)",15,OK,238.28833543724937,0.6275684925998497,1.1077120304107666,225
"(2, 7, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1314659118652344,25
"(2, 7, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1249580383300781,64
"(2, 7, 8)",10,OK,458.8046241760564,0.4381386136066718,1.1244590282440186,100
"(2, 7, 8)",15,OK,365.3359286769646,0.5176993128688027,1.1314280033111572,225
"(2, 7, 9)",5,OK,465.9875781404228,0.40498478862987614,1.131070852279663,25
"(2, 7, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1394731998443604,64
"(2, 7, 9)",10,OK,306.8961530785872,0.5481624084362076,1.1280500888824463,100
"(2, 7, 9)",15,OK,236.38581837080696,0.6297827813983574,1.1332459449768066,225
"(2, 8, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1260569095611572,25
"(2, 8, 9)",8,OK,458.81235333945904,0.43786136826828376,1.096893072128296,64
"(2, 8, 9)",10,OK,376.3130208352452,0.49096132245696705,1.1024010181427002,100
"(2, 8, 9)",15,OK,293.95766463686533,0.5643467347777683,1.1325340270996094,225
"(3, 4, 5)",5,OK,465.9875781404228,0.40498478862987614,1.0989689826965332,25
"(3, 4, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1246540546417236,64
"(3, 4, 5)",10,OK,458.76238480906386,0.45790178737274045,1.1297969818115234,100
"(3, 4, 5)",15,OK,458.6996615694874,0.470193930372267,1.1258959770202637,225
"(3, 4, 6)",5,OK,465.9875781404228,0.40498478862987614,1.127722978591919,25
"(3, 4, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1223480701446533,64
"(3, 4, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1102328300476074,100
"(3, 4, 6)",15,OK,458.6996615694874,0.470193930372267,1.11981201171875,225
"(3, 4, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1026842594146729,25
"(3, 4, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1320462226867676,64
"(3, 4, 7)",10,OK,458.76238480906386,0.45790178737274045,1.131354808807373,100
"(3, 4, 7)",15,OK,458.6996615694874,0.470193930372267,1.132490873336792,225
"(3, 4, 8)",5,OK,465.9875781404228,0.40498478862987614,1.104288101196289,25
"(3, 4, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1278579235076904,64
"(3, 4, 8)",10,OK,458.787095427418,0.43927631488321073,1.1312870979309082,100
"(3, 4, 8)",15,OK,458.3386915538306,0.4590415324649288,1.1349451541900635,225
"(3, 4, 9)",5,OK,465.9875781404228,0.40498478862987614,1.134660005569458,25
"(3, 4, 9)",8,OK,458.81235333945904,0.43786136826828376,1.1140730381011963,64
"(3, 4, 9)",10,OK,376.2923620165628,0.5009640108361921,1.1077330112457275,100
"(3, 4, 9)",15,OK,236.38581837080696,0.6297827813983574,1.1350281238555908,225
"(3, 5, 6)",5,OK,465.9875781404228,0.4049847886298762,1.1029610633850098,25
"(3, 5, 6)",8,OK,458.81235333945904,0.43786136826828376,1.116818904876709,64
"(3, 5, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1223652362823486,100
"(3, 5, 6)",15,OK,458.6996615694874,0.470193930372267,1.1295759677886963,225
"(3, 5, 7)",5,OK,465.9875781404228,0.40498478862987614,1.0985169410705566,25
"(3, 5, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1159920692443848,64
