ordering,captured,cap_alpha,cap_beta,cap_product,missed_mHa_proxy,err_sub_mHa,err_var_mHa,retained_J,top1,n_unique
q148,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.6851747459981,199.26988354943376,0.2256805357553322,0.978614,152
q149,0.7851341599309907,0.7983493032113792,0.7983493032113788,0.6373616099380943,0.21486584006900933,155.489807576501,243.23476718332415,0.1279539176684634,0.989042,78
q150,0.9612172465605131,0.9705185281739118,0.9690037439622237,0.9404360873852274,0.038782753439486894,49.38281984220794,222.8853893626308,0.2594707564045541,0.982438,143
q151,0.802746498985803,0.8167203778251473,0.8167203778251467,0.6670321755548508,0.19725350101419703,153.99807522069864,221.67291792064248,0.1983872567617963,0.986852,112
q152,0.9618719190882075,0.9727724171066053,0.9705185281739113,0.9440936544984807,0.03812808091179254,52.68558412630853,217.24554683963504,0.2123390175535644,0.969742,175
q153,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,164.69733464053604,0.2028833496897041,0.973028,179
q154,0.9578735492015442,0.9714307731396546,0.971409910916771,0.9436574807974019,0.04212645079845578,49.648593970999855,279.0240623276219,0.2178805182311195,0.986001,101
q155,0.9559773730588506,0.9665125169689378,0.965519262363922,0.9331864524493465,0.044022626941149445,58.41237986700776,206.2404023847506,0.2155070278468161,0.985035,150
q156,0.96974594711783,0.9804262372760069,0.9804262372760066,0.9612356067391887,0.03025405288216998,38.867463342697306,206.69066839028005,0.2276586492754985,0.964228,183
q157,0.880658320739505,0.9059172488614096,0.9059172488614093,0.8206860617846249,0.11934167926049499,80.0241614852979,256.08638852266097,0.1738957597463677,0.991106,81
q158,0.970704970909354,0.9809477668826793,0.9809477668826789,0.962258521352115,0.029295029090645963,36.35063205649658,198.33738520664213,0.2294409624496112,0.970472,165
q159,0.9605172444650745,0.9690037439622241,0.9679941574816099,0.9379899627332388,0.03948275553492553,49.69743575129826,259.66688709117136,0.231612138667552,0.987491,103
